,,"RELIANCE INDUSTRIES LTD           Mcap 1,778,022 Cr        CMP 1,313.9",,,,,,,,,,,,,,,
INR Cr,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26 e,Mar-27 e,Mar-28 e,22-25       3Y CAGR,25-27          2Y CAGR,25-28          3Y CAGR,,,Particulars,FY22A,FY23A,FY24E,FY25E
Revenue ,"694,673","876,396","899,041","962,820","1,073,495","1,196,892","1,334,473",11.5%,11.5%,11.5%,,,Net Revenue,"899,041","962,820","1,073,495","1,196,892"
EBITDA,"108,581","142,318","162,498","165,598","184,329","205,518","229,142",15.1%,11.4%,11.4%,,,% Chg y-o-y,3%,7%,11%,11%
EBITDA Margin,15.6%,16.2%,18.1%,17.2%,17.2%,17.2%,17.2%,,,,,,EBITDA,"162,498","165,598","184,329","205,518"
PAT,"60,705","66,702","69,621","69,648","84,946","91,986","98,660",4.7%,14.9%,12.3%,,,EBITDA Margin (%),18.1%,17.2%,17.2%,17.2%
PAT Margin ,8.7%,7.6%,7.7%,7.2%,7.9%,7.7%,7.4%,,,,,,Net Profit,"69,621","69,648","84,946","91,986"
EPS,44.9,49.3,51.5,51.5,62.8,68.0,72.9,4.7%,14.9%,12.3%,,,EPS (RS),51.5,51.5,62.8,68.0
BVPS,576.1,529.1,586.4,623.1,679.7,741.0,806.7,2.6%,9.0%,9.0%,,,EPS % Chg,4%,0%,22%,8%
PE,29.3,26.7,25.5,25.5,20.9,19.3,18.0,,,,,,P/E (X),25.5,25.5,20.9,19.3
P/B,2.3,2.5,2.2,2.1,1.9,1.8,1.6,,,,,,EV/EBITDA(X),14.5,12.7,12.4,11.1
EV/EBITDA,18.0,13.3,14.5,12.7,12.4,11.1,9.9,,,,,,P/BV,2.2,2.1,1.9,1.8
RoE,8%,9%,9%,8%,9%,9%,9%,,,,,,BV/SHARE,586.4,623.1,679.7,741.0
RoCE,9%,10%,11%,11%,10%,10%,10%,,,,,,ROE,9%,8%,9%,9%
RoIC,16%,15%,15%,15%,13%,12%,12%,,,,,,ROCE,11%,11%,10%,10%
WC Sales %,-14%,-10%,-22%,-30%,-21%,-21%,-21%,,,,,,,,,,
OCF / EBITDA,102%,81%,98%,108%,51%,99%,99%,,,,,,,,,,
